date,disease_name,mention_count,sentiment_score,source_reliability
2025-10-29,COVID-19,2,0.006007032331400008,0.5
2025-10-30,0,0,-0.036560032241766426,0.5
2025-10-31,0,0,-0.25424168431514443,0.5
2025-11-01,0,0,0.22057857216684856,0.5
2025-11-02,COVID-19,1,0.05658244739116509,0.5
2025-11-03,COVID-19,11,0.1548547198175061,0.5
2025-11-04,COVID-19,4,-0.026517043923008552,0.5
2025-11-05,0,0,-0.2734840323239581,0.5
2025-11-06,0,0,0.09006484749117101,0.5
2025-11-07,0,0,-0.26001839853589526,0.5
2025-11-08,COVID-19,1,-0.023866622483305778,0.5
2025-11-09,COVID-19,3,-0.1852052431332494,0.5
2025-10-29,Dengue,9,-0.008322706651880573,0.5
2025-10-30,Dengue,5,-0.24731346869117962,0.5
2025-10-31,Dengue,3,-0.0775603676083155,0.5
2025-11-01,0,0,0.2867956565708943,0.5
2025-11-02,0,0,0.2756124708630453,0.5
2025-11-03,0,0,-0.21786181899329385,0.5
2025-11-04,0,0,-0.09864584923509187,0.5
2025-11-05,Dengue,1,0.16417130909574365,0.5
2025-11-06,0,0,-0.1157036788015046,0.5
2025-11-07,Dengue,3,0.0418824278571938,0.5
2025-11-08,0,0,0.20497413740830817,0.5
2025-11-09,Dengue,2,0.15731243961299188,0.5
2025-11-03,Ebola,1,-0.0500086667362748,0.5
2025-11-04,0,0,0.010693790127002134,0.5
2025-11-05,0,0,0.12976116895033143,0.5
2025-11-06,0,0,-0.13785341480807803,0.5
2025-11-07,Ebola,2,-0.1472766704456083,0.5
2025-10-27,Influenza,14,-0.1633017292977295,0.5
2025-10-28,Influenza,12,0.09520047172807185,0.5
2025-10-29,Influenza,7,-0.26957031004001325,0.5
2025-10-30,Influenza,1,-0.07064931277502907,0.5
2025-10-31,Influenza,8,-0.25289713486305726,0.5
2025-11-01,0,0,0.12084951222610779,0.5
2025-11-02,Influenza,2,-0.13115883272010292,0.5
2025-11-03,Influenza,7,0.20683139119640095,0.5
2025-11-04,Influenza,16,-0.12420676548732128,0.5
2025-11-05,Influenza,22,0.18222976351652523,0.5
2025-11-06,Influenza,21,0.021789726405377706,0.5
2025-11-07,Influenza,9,0.0941256632829249,0.5
2025-11-08,Influenza,5,0.07119212868954025,0.5
2025-11-09,Influenza,10,0.1444953831645855,0.5
2025-11-10,Influenza,4,0.20073913751312789,0.5
2025-10-29,Malaria,2,-0.14810288882995326,0.5
2025-10-30,Malaria,2,0.18938925584984104,0.5
2025-10-31,Malaria,1,-0.011482418922689952,0.5
2025-11-01,0,0,-0.07470621248383659,0.5
2025-11-02,0,0,-0.23262667939629822,0.5
2025-11-03,0,0,0.2722383997570382,0.5
2025-11-04,Malaria,2,0.13042837428328777,0.5
2025-11-05,0,0,0.247281850470286,0.5
2025-11-06,0,0,0.1444052454485665,0.5
2025-11-07,Malaria,4,0.021053271922873252,0.5
2025-11-02,Measles,3,-0.171468559037385,0.5
2025-11-03,Measles,1,0.013614897196617792,0.5
2025-10-30,Meningitis,2,0.01766437029346237,0.5
2025-10-31,Tuberculosis,3,-0.2896872772639168,0.5
2025-11-01,Tuberculosis,1,0.026468653745844926,0.5
2025-11-02,0,0,-0.1595399051748175,0.5
2025-11-03,0,0,0.2079332117481376,0.5
2025-11-04,Tuberculosis,4,-0.13527269364611363,0.5
2025-11-05,0,0,0.1986701605366437,0.5
2025-11-06,Tuberculosis,2,-0.07315669009533984,0.5
2025-11-07,0,0,0.10865384198393495,0.5
2025-11-08,0,0,-0.27859503068948727,0.5
2025-11-09,0,0,-0.22875363987208192,0.5
2025-11-10,Tuberculosis,2,0.01869766870059528,0.5
2025-10-31,Zika,1,-0.2102091353251024,0.5
