date,disease_name,mention_count,sentiment_score,source_reliability
2025-10-29,COVID-19,2,0.046241814393868985,0.5
2025-10-30,0,0,-0.04381657774450844,0.5
2025-10-31,0,0,-0.11133928443477271,0.5
2025-11-01,0,0,-0.013283645525850528,0.5
2025-11-02,COVID-19,1,-0.24962636292386908,0.5
2025-11-03,COVID-19,11,0.1791833331752979,0.5
2025-11-04,COVID-19,4,0.1147757478076356,0.5
2025-11-05,0,0,-0.03493064496384415,0.5
2025-11-06,0,0,0.023407449532947933,0.5
2025-11-07,0,0,-0.19351403576864887,0.5
2025-11-08,COVID-19,1,0.09435528009079279,0.5
2025-11-09,COVID-19,3,-0.15628663046250782,0.5
2025-10-29,Dengue,9,-0.0762177447548463,0.5
2025-10-30,Dengue,5,-0.1602952405458041,0.5
2025-10-31,Dengue,3,0.12438811471833537,0.5
2025-11-01,0,0,-0.051736613402186445,0.5
2025-11-02,0,0,-0.09479420870106907,0.5
2025-11-03,0,0,-0.17442698094582984,0.5
2025-11-04,0,0,0.0523721806279577,0.5
2025-11-05,Dengue,1,0.11947238139808236,0.5
2025-11-06,0,0,0.24616191993766479,0.5
2025-11-07,Dengue,3,0.2856261549836729,0.5
2025-11-08,0,0,-0.06807767689079602,0.5
2025-11-09,Dengue,2,-0.22648792060356293,0.5
2025-11-03,Ebola,1,-0.29669837394710946,0.5
2025-11-04,0,0,0.02800506756192527,0.5
2025-11-05,0,0,-0.09787115819860577,0.5
2025-11-06,0,0,-0.12698740444204756,0.5
2025-11-07,Ebola,2,-0.18101433972581016,0.5
2025-10-27,Influenza,14,-0.2678611815056379,0.5
2025-10-28,Influenza,12,-0.04173612186686917,0.5
2025-10-29,Influenza,7,0.1336975892708347,0.5
2025-10-30,Influenza,1,-0.02334477943844877,0.5
2025-10-31,Influenza,8,-0.27077049112327845,0.5
2025-11-01,0,0,0.2193449247835637,0.5
2025-11-02,Influenza,2,-0.10577649442598953,0.5
2025-11-03,Influenza,7,-0.25946580370047445,0.5
2025-11-04,Influenza,16,-0.25850790629847015,0.5
2025-11-05,Influenza,22,-0.2998568738135395,0.5
2025-11-06,Influenza,21,-0.11791472685050994,0.5
2025-11-07,Influenza,9,-0.28899091829938545,0.5
2025-11-08,Influenza,5,-0.27628135976420115,0.5
2025-11-09,Influenza,10,-0.2958047741741899,0.5
2025-11-10,Influenza,4,-0.11584618416897241,0.5
2025-10-29,Malaria,2,0.19441378274664062,0.5
2025-10-30,Malaria,2,-0.26859289917663337,0.5
2025-10-31,Malaria,1,0.2049436469678867,0.5
2025-11-01,0,0,-0.014687988379215965,0.5
2025-11-02,0,0,0.17213856157387555,0.5
2025-11-03,0,0,-0.26159908090422745,0.5
2025-11-04,Malaria,2,-0.043060873650198374,0.5
2025-11-05,0,0,0.27248050440271987,0.5
2025-11-06,0,0,0.24023926936203244,0.5
2025-11-07,Malaria,4,-0.2839182777894841,0.5
2025-11-02,Measles,3,0.23879629074986009,0.5
2025-11-03,Measles,1,0.048490049636957265,0.5
2025-10-30,Meningitis,2,-0.18844383239925697,0.5
2025-10-31,Tuberculosis,3,0.2664930737760359,0.5
2025-11-01,Tuberculosis,1,0.2313032534240947,0.5
2025-11-02,0,0,-0.016886871391045298,0.5
2025-11-03,0,0,-0.24218748261765918,0.5
2025-11-04,Tuberculosis,4,0.2930723993633229,0.5
2025-11-05,0,0,0.22975181242472875,0.5
2025-11-06,Tuberculosis,2,-0.19711185713416518,0.5
2025-11-07,0,0,0.1338592163188424,0.5
2025-11-08,0,0,0.19212612472233345,0.5
2025-11-09,0,0,0.1621844456306065,0.5
2025-11-10,Tuberculosis,2,-0.2610904555880405,0.5
2025-10-31,Zika,1,0.2894416626373392,0.5
